Date,Age,Account,MovementType,Amount,BalanceAfter,Remarks
2047-03-01,100001174,72,RA,Payout,930.00,96378.76,"Monthly payout from RA"
2047-03-01,100001175,72,Excess,Payout In,930.00,64170.00,"Monthly payout credited to excess"
2047-04-01,100001176,72,OA,Contribution,74.00,671575.14,"Monthly allocation"
2047-04-01,100001177,72,MA,Contribution,777.00,455856.10,"Monthly allocation"
2047-04-01,100001178,72,RA,Contribution,74.00,96452.76,"Monthly allocation"
2047-04-01,100001179,72,RA,Payout,930.00,95522.76,"Monthly payout from RA"
2047-04-01,100001180,72,Excess,Payout In,930.00,65100.00,"Monthly payout credited to excess"
2047-05-01,100001181,72,OA,Contribution,74.00,671649.14,"Monthly allocation"
2047-05-01,100001182,72,MA,Contribution,777.00,456633.10,"Monthly allocation"
2047-05-01,100001183,72,RA,Contribution,74.00,95596.76,"Monthly allocation"
2047-05-01,100001184,72,RA,Payout,930.00,94666.76,"Monthly payout from RA"
2047-05-01,100001185,72,Excess,Payout In,930.00,66030.00,"Monthly payout credited to excess"
2047-06-01,100001186,72,OA,Contribution,74.00,671723.14,"Monthly allocation"
2047-06-01,100001187,72,MA,Contribution,777.00,457410.10,"Monthly allocation"
2047-06-01,100001188,72,RA,Contribution,74.00,94740.76,"Monthly allocation"
2047-06-01,100001189,72,RA,Payout,930.00,93810.76,"Monthly payout from RA"
2047-06-01,100001190,72,Excess,Payout In,930.00,66960.00,"Monthly payout credited to excess"
2047-07-01,100001191,73,OA,Contribution,74.00,671797.14,"Monthly allocation"
2047-07-01,100001192,73,MA,Contribution,777.00,458187.10,"Monthly allocation"
2047-07-01,100001193,73,RA,Contribution,74.00,93884.76,"Monthly allocation"
2047-07-01,100001194,73,RA,Payout,930.00,92954.76,"Monthly payout from RA"
2047-07-01,100001195,73,Excess,Payout In,930.00,67890.00,"Monthly payout credited to excess"
2047-08-01,100001196,73,OA,Contribution,74.00,671871.14,"Monthly allocation"
2047-08-01,100001197,73,MA,Contribution,777.00,458964.10,"Monthly allocation"
2047-08-01,100001198,73,RA,Contribution,74.00,93028.76,"Monthly allocation"
2047-08-01,100001199,73,RA,Payout,930.00,92098.76,"Monthly payout from RA"
2047-08-01,100001200,73,Excess,Payout In,930.00,68820.00,"Monthly payout credited to excess"
2047-09-01,100001201,73,OA,Contribution,74.00,671945.14,"Monthly allocation"
2047-09-01,100001202,73,MA,Contribution,777.00,459741.10,"Monthly allocation"
2047-09-01,100001203,73,RA,Contribution,74.00,92172.76,"Monthly allocation"
2047-09-01,100001204,73,RA,Payout,930.00,91242.76,"Monthly payout from RA"
2047-09-01,100001205,73,Excess,Payout In,930.00,69750.00,"Monthly payout credited to excess"
2047-10-01,100001206,73,OA,Contribution,74.00,672019.14,"Monthly allocation"
2047-10-01,100001207,73,MA,Contribution,777.00,460518.10,"Monthly allocation"
2047-10-01,100001208,73,RA,Contribution,74.00,91316.76,"Monthly allocation"
2047-10-01,100001209,73,RA,Payout,930.00,90386.76,"Monthly payout from RA"
2047-10-01,100001210,73,Excess,Payout In,930.00,70680.00,"Monthly payout credited to excess"
2047-11-01,100001211,73,OA,Contribution,74.00,672093.14,"Monthly allocation"
2047-11-01,100001212,73,MA,Contribution,777.00,461295.10,"Monthly allocation"
2047-11-01,100001213,73,RA,Contribution,74.00,90460.76,"Monthly allocation"
2047-11-01,100001214,73,RA,Payout,930.00,89530.76,"Monthly payout from RA"
2047-11-01,100001215,73,Excess,Payout In,930.00,71610.00,"Monthly payout credited to excess"
2047-12-01,100001216,73,OA,Contribution,74.00,672167.14,"Monthly allocation"
2047-12-01,100001217,73,MA,Contribution,777.00,462072.10,"Monthly allocation"
2047-12-01,100001218,73,RA,Contribution,74.00,89604.76,"Monthly allocation"
2047-12-01,100001219,73,OA,Interest,26886.69,699053.82,"Annual base interest"
2047-12-01,100001220,73,MA,Interest,18482.88,480554.98,"Annual base interest"
2047-12-01,100001221,73,RA,Interest,3584.19,93188.95,"Annual base + extra interest"
2047-12-01,100001222,73,RA,Extra Interest,900.00,94088.95,"Annual base + extra interest"
2047-12-01,100001223,73,RA,Payout,930.00,93158.95,"Monthly payout from RA"
2047-12-01,100001224,73,Excess,Payout In,930.00,72540.00,"Monthly payout credited to excess"
2048-01-01,100001225,73,OA,Contribution,74.00,699127.82,"Monthly allocation"
2048-01-01,100001226,73,MA,Contribution,777.00,481331.98,"Monthly allocation"
2048-01-01,100001227,73,RA,Contribution,74.00,93232.95,"Monthly allocation"
2048-01-01,100001228,73,RA,Payout,930.00,92302.95,"Monthly payout from RA"
2048-01-01,100001229,73,Excess,Payout In,930.00,73470.00,"Monthly payout credited to excess"
2048-02-01,100001230,73,OA,Contribution,74.00,699201.82,"Monthly allocation"
2048-02-01,100001231,73,MA,Contribution,777.00,482108.98,"Monthly allocation"
2048-02-01,100001232,73,RA,Contribution,74.00,92376.95,"Monthly allocation"
2048-02-01,100001233,73,RA,Payout,930.00,91446.95,"Monthly payout from RA"
2048-02-01,100001234,73,Excess,Payout In,930.00,74400.00,"Monthly payout credited to excess"
2048-03-01,100001235,73,OA,Contribution,74.00,699275.82,"Monthly allocation"
2048-03-01,100001236,73,MA,Contribution,777.00,482885.98,"Monthly allocation"
2048-03-01,100001237,73,RA,Contribution,74.00,91520.95,"Monthly allocation"
2048-03-01,100001238,73,RA,Payout,930.00,90590.95,"Monthly payout from RA"
2048-03-01,100001239,73,Excess,Payout In,930.00,75330.00,"Monthly payout credited to excess"
2048-04-01,100001240,73,OA,Contribution,74.00,699349.82,"Monthly allocation"
2048-04-01,100001241,73,MA,Contribution,777.00,483662.98,"Monthly allocation"
2048-04-01,100001242,73,RA,Contribution,74.00,90664.95,"Monthly allocation"
2048-04-01,100001243,73,RA,Payout,930.00,89734.95,"Monthly payout from RA"
2048-04-01,100001244,73,Excess,Payout In,930.00,76260.00,"Monthly payout credited to excess"
2048-05-01,100001245,73,OA,Contribution,74.00,699423.82,"Monthly allocation"
2048-05-01,100001246,73,MA,Contribution,777.00,484439.98,"Monthly allocation"
2048-05-01,100001247,73,RA,Contribution,74.00,89808.95,"Monthly allocation"
2048-05-01,100001248,73,RA,Payout,930.00,88878.95,"Monthly payout from RA"
2048-05-01,100001249,73,Excess,Payout In,930.00,77190.00,"Monthly payout credited to excess"
2048-06-01,100001250,73,OA,Contribution,74.00,699497.82,"Monthly allocation"
2048-06-01,100001251,73,MA,Contribution,777.00,485216.98,"Monthly allocation"
2048-06-01,100001252,73,RA,Contribution,74.00,88952.95,"Monthly allocation"
2048-06-01,100001253,73,RA,Payout,930.00,88022.95,"Monthly payout from RA"
2048-06-01,100001254,73,Excess,Payout In,930.00,78120.00,"Monthly payout credited to excess"
2048-07-01,100001255,74,OA,Contribution,74.00,699571.82,"Monthly allocation"
2048-07-01,100001256,74,MA,Contribution,777.00,485993.98,"Monthly allocation"
2048-07-01,100001257,74,RA,Contribution,74.00,88096.95,"Monthly allocation"
2048-07-01,100001258,74,RA,Payout,930.00,87166.95,"Monthly payout from RA"
2048-07-01,100001259,74,Excess,Payout In,930.00,79050.00,"Monthly payout credited to excess"
2048-08-01,100001260,74,OA,Contribution,74.00,699645.82,"Monthly allocation"
2048-08-01,100001261,74,MA,Contribution,777.00,486770.98,"Monthly allocation"
2048-08-01,100001262,74,RA,Contribution,74.00,87240.95,"Monthly allocation"
2048-08-01,100001263,74,RA,Payout,930.00,86310.95,"Monthly payout from RA"
2048-08-01,100001264,74,Excess,Payout In,930.00,79980.00,"Monthly payout credited to excess"
2048-09-01,100001265,74,OA,Contribution,74.00,699719.82,"Monthly allocation"
2048-09-01,100001266,74,MA,Contribution,777.00,487547.98,"Monthly allocation"
2048-09-01,100001267,74,RA,Contribution,74.00,86384.95,"Monthly allocation"
2048-09-01,100001268,74,RA,Payout,930.00,85454.95,"Monthly payout from RA"
2048-09-01,100001269,74,Excess,Payout In,930.00,80910.00,"Monthly payout credited to excess"
2048-10-01,100001270,74,OA,Contribution,74.00,699793.82,"Monthly allocation"
2048-10-01,100001271,74,MA,Contribution,777.00,488324.98,"Monthly allocation"
2048-10-01,100001272,74,RA,Contribution,74.00,85528.95,"Monthly allocation"
2048-10-01,100001273,74,RA,Payout,930.00,84598.95,"Monthly payout from RA"
2048-10-01,100001274,74,Excess,Payout In,930.00,81840.00,"Monthly payout credited to excess"
2048-11-01,100001275,74,OA,Contribution,74.00,699867.82,"Monthly allocation"
2048-11-01,100001276,74,MA,Contribution,777.00,489101.98,"Monthly allocation"
2048-11-01,100001277,74,RA,Contribution,74.00,84672.95,"Monthly allocation"
2048-11-01,100001278,74,RA,Payout,930.00,83742.95,"Monthly payout from RA"
2048-11-01,100001279,74,Excess,Payout In,930.00,82770.00,"Monthly payout credited to excess"
2048-12-01,100001280,74,OA,Contribution,74.00,699941.82,"Monthly allocation"
2048-12-01,100001281,74,MA,Contribution,777.00,489878.98,"Monthly allocation"
2048-12-01,100001282,74,RA,Contribution,74.00,83816.95,"Monthly allocation"
2048-12-01,100001283,74,OA,Interest,27997.67,727939.49,"Annual base interest"
2048-12-01,100001284,74,MA,Interest,19595.16,509474.14,"Annual base interest"
2048-12-01,100001285,74,RA,Interest,3352.68,87169.63,"Annual base + extra interest"
2048-12-01,100001286,74,RA,Extra Interest,900.00,88069.63,"Annual base + extra interest"
2048-12-01,100001287,74,RA,Payout,930.00,87139.63,"Monthly payout from RA"
2048-12-01,100001288,74,Excess,Payout In,930.00,83700.00,"Monthly payout credited to excess"
2049-01-01,100001289,74,OA,Contribution,74.00,728013.49,"Monthly allocation"
2049-01-01,100001290,74,MA,Contribution,777.00,510251.14,"Monthly allocation"
2049-01-01,100001291,74,RA,Contribution,74.00,87213.63,"Monthly allocation"
2049-01-01,100001292,74,RA,Payout,930.00,86283.63,"Monthly payout from RA"
2049-01-01,100001293,74,Excess,Payout In,930.00,84630.00,"Monthly payout credited to excess"
2049-02-01,100001294,74,OA,Contribution,74.00,728087.49,"Monthly allocation"
2049-02-01,100001295,74,MA,Contribution,777.00,511028.14,"Monthly allocation"
2049-02-01,100001296,74,RA,Contribution,74.00,86357.63,"Monthly allocation"
2049-02-01,100001297,74,RA,Payout,930.00,85427.63,"Monthly payout from RA"
2049-02-01,100001298,74,Excess,Payout In,930.00,85560.00,"Monthly payout credited to excess"
2049-03-01,100001299,74,OA,Contribution,74.00,728161.49,"Monthly allocation"
2049-03-01,100001300,74,MA,Contribution,777.00,511805.14,"Monthly allocation"
2049-03-01,100001301,74,RA,Contribution,74.00,85501.63,"Monthly allocation"
2049-03-01,100001302,74,RA,Payout,930.00,84571.63,"Monthly payout from RA"
2049-03-01,100001303,74,Excess,Payout In,930.00,86490.00,"Monthly payout credited to excess"
2049-04-01,100001304,74,OA,Contribution,74.00,728235.49,"Monthly allocation"
2049-04-01,100001305,74,MA,Contribution,777.00,512582.14,"Monthly allocation"
2049-04-01,100001306,74,RA,Contribution,74.00,84645.63,"Monthly allocation"
2049-04-01,100001307,74,RA,Payout,930.00,83715.63,"Monthly payout from RA"
2049-04-01,100001308,74,Excess,Payout In,930.00,87420.00,"Monthly payout credited to excess"
2049-05-01,100001309,74,OA,Contribution,74.00,728309.49,"Monthly allocation"
2049-05-01,100001310,74,MA,Contribution,777.00,513359.14,"Monthly allocation"
2049-05-01,100001311,74,RA,Contribution,74.00,83789.63,"Monthly allocation"
2049-05-01,100001312,74,RA,Payout,930.00,82859.63,"Monthly payout from RA"
2049-05-01,100001313,74,Excess,Payout In,930.00,88350.00,"Monthly payout credited to excess"
2049-06-01,100001314,74,OA,Contribution,74.00,728383.49,"Monthly allocation"
2049-06-01,100001315,74,MA,Contribution,777.00,514136.14,"Monthly allocation"
2049-06-01,100001316,74,RA,Contribution,74.00,82933.63,"Monthly allocation"
2049-06-01,100001317,74,RA,Payout,930.00,82003.63,"Monthly payout from RA"
2049-06-01,100001318,74,Excess,Payout In,930.00,89280.00,"Monthly payout credited to excess"
2049-07-01,100001319,75,OA,Contribution,74.00,728457.49,"Monthly allocation"
2049-07-01,100001320,75,MA,Contribution,777.00,514913.14,"Monthly allocation"
2049-07-01,100001321,75,RA,Contribution,74.00,82077.63,"Monthly allocation"
2049-07-01,100001322,75,RA,Payout,930.00,81147.63,"Monthly payout from RA"
2049-07-01,100001323,75,Excess,Payout In,930.00,90210.00,"Monthly payout credited to excess"
2049-08-01,100001324,75,OA,Contribution,74.00,728531.49,"Monthly allocation"
2049-08-01,100001325,75,MA,Contribution,777.00,515690.14,"Monthly allocation"
2049-08-01,100001326,75,RA,Contribution,74.00,81221.63,"Monthly allocation"
2049-08-01,100001327,75,RA,Payout,930.00,80291.63,"Monthly payout from RA"
2049-08-01,100001328,75,Excess,Payout In,930.00,91140.00,"Monthly payout credited to excess"
2049-09-01,100001329,75,OA,Contribution,74.00,728605.49,"Monthly allocation"
2049-09-01,100001330,75,MA,Contribution,777.00,516467.14,"Monthly allocation"
2049-09-01,100001331,75,RA,Contribution,74.00,80365.63,"Monthly allocation"
2049-09-01,100001332,75,RA,Payout,930.00,79435.63,"Monthly payout from RA"
2049-09-01,100001333,75,Excess,Payout In,930.00,92070.00,"Monthly payout credited to excess"
2049-10-01,100001334,75,OA,Contribution,74.00,728679.49,"Monthly allocation"
2049-10-01,100001335,75,MA,Contribution,777.00,517244.14,"Monthly allocation"
2049-10-01,100001336,75,RA,Contribution,74.00,79509.63,"Monthly allocation"
2049-10-01,100001337,75,RA,Payout,930.00,78579.63,"Monthly payout from RA"
2049-10-01,100001338,75,Excess,Payout In,930.00,93000.00,"Monthly payout credited to excess"
2049-11-01,100001339,75,OA,Contribution,74.00,728753.49,"Monthly allocation"
2049-11-01,100001340,75,MA,Contribution,777.00,518021.14,"Monthly allocation"
2049-11-01,100001341,75,RA,Contribution,74.00,78653.63,"Monthly allocation"
2049-11-01,100001342,75,RA,Payout,930.00,77723.63,"Monthly payout from RA"
2049-11-01,100001343,75,Excess,Payout In,930.00,93930.00,"Monthly payout credited to excess"
2049-12-01,100001344,75,OA,Contribution,74.00,728827.49,"Monthly allocation"
2049-12-01,100001345,75,MA,Contribution,777.00,518798.14,"Monthly allocation"
2049-12-01,100001346,75,RA,Contribution,74.00,77797.63,"Monthly allocation"
2049-12-01,100001347,75,OA,Interest,29153.10,757980.59,"Annual base interest"
2049-12-01,100001348,75,MA,Interest,20751.93,539550.07,"Annual base interest"
2049-12-01,100001349,75,RA,Interest,3111.91,80909.53,"Annual base + extra interest"
2049-12-01,100001350,75,RA,Extra Interest,900.00,81809.53,"Annual base + extra interest"
2049-12-01,100001351,75,RA,Payout,930.00,80879.53,"Monthly payout from RA"
2049-12-01,100001352,75,Excess,Payout In,930.00,94860.00,"Monthly payout credited to excess"
2050-01-01,100001353,75,OA,Contribution,74.00,758054.59,"Monthly allocation"
2050-01-01,100001354,75,MA,Contribution,777.00,540327.07,"Monthly allocation"
2050-01-01,100001355,75,RA,Contribution,74.00,80953.53,"Monthly allocation"
2050-01-01,100001356,75,RA,Payout,930.00,80023.53,"Monthly payout from RA"
2050-01-01,100001357,75,Excess,Payout In,930.00,95790.00,"Monthly payout credited to excess"
2050-02-01,100001358,75,OA,Contribution,74.00,758128.59,"Monthly allocation"
2050-02-01,100001359,75,MA,Contribution,777.00,541104.07,"Monthly allocation"
2050-02-01,100001360,75,RA,Contribution,74.00,80097.53,"Monthly allocation"
2050-02-01,100001361,75,RA,Payout,930.00,79167.53,"Monthly payout from RA"
2050-02-01,100001362,75,Excess,Payout In,930.00,96720.00,"Monthly payout credited to excess"
2050-03-01,100001363,75,OA,Contribution,74.00,758202.59,"Monthly allocation"
2050-03-01,100001364,75,MA,Contribution,777.00,541881.07,"Monthly allocation"
2050-03-01,100001365,75,RA,Contribution,74.00,79241.53,"Monthly allocation"
2050-03-01,100001366,75,RA,Payout,930.00,78311.53,"Monthly payout from RA"
2050-03-01,100001367,75,Excess,Payout In,930.00,97650.00,"Monthly payout credited to excess"
2050-04-01,100001368,75,OA,Contribution,74.00,758276.59,"Monthly allocation"
2050-04-01,100001369,75,MA,Contribution,777.00,542658.07,"Monthly allocation"
2050-04-01,100001370,75,RA,Contribution,74.00,78385.53,"Monthly allocation"
2050-04-01,100001371,75,RA,Payout,930.00,77455.53,"Monthly payout from RA"
2050-04-01,100001372,75,Excess,Payout In,930.00,98580.00,"Monthly payout credited to excess"
2050-05-01,100001373,75,OA,Contribution,74.00,758350.59,"Monthly allocation"
2050-05-01,100001374,75,MA,Contribution,777.00,543435.07,"Monthly allocation"
2050-05-01,100001375,75,RA,Contribution,74.00,77529.53,"Monthly allocation"
2050-05-01,100001376,75,RA,Payout,930.00,76599.53,"Monthly payout from RA"
2050-05-01,100001377,75,Excess,Payout In,930.00,99510.00,"Monthly payout credited to excess"
2050-06-01,100001378,75,OA,Contribution,74.00,758424.59,"Monthly allocation"
2050-06-01,100001379,75,MA,Contribution,777.00,544212.07,"Monthly allocation"
2050-06-01,100001380,75,RA,Contribution,74.00,76673.53,"Monthly allocation"
2050-06-01,100001381,75,RA,Payout,930.00,75743.53,"Monthly payout from RA"
2050-06-01,100001382,75,Excess,Payout In,930.00,100440.00,"Monthly payout credited to excess"
2050-07-01,100001383,76,OA,Contribution,74.00,758498.59,"Monthly allocation"
2050-07-01,100001384,76,MA,Contribution,777.00,544989.07,"Monthly allocation"
2050-07-01,100001385,76,RA,Contribution,74.00,75817.53,"Monthly allocation"
2050-07-01,100001386,76,RA,Payout,930.00,74887.53,"Monthly payout from RA"
2050-07-01,100001387,76,Excess,Payout In,930.00,101370.00,"Monthly payout credited to excess"
2050-08-01,100001388,76,OA,Contribution,74.00,758572.59,"Monthly allocation"
2050-08-01,100001389,76,MA,Contribution,777.00,545766.07,"Monthly allocation"
2050-08-01,100001390,76,RA,Contribution,74.00,74961.53,"Monthly allocation"
2050-08-01,100001391,76,RA,Payout,930.00,74031.53,"Monthly payout from RA"
2050-08-01,100001392,76,Excess,Payout In,930.00,102300.00,"Monthly payout credited to excess"
2050-09-01,100001393,76,OA,Contribution,74.00,758646.59,"Monthly allocation"
2050-09-01,100001394,76,MA,Contribution,777.00,546543.07,"Monthly allocation"
2050-09-01,100001395,76,RA,Contribution,74.00,74105.53,"Monthly allocation"
2050-09-01,100001396,76,RA,Payout,930.00,73175.53,"Monthly payout from RA"
2050-09-01,100001397,76,Excess,Payout In,930.00,103230.00,"Monthly payout credited to excess"
2050-10-01,100001398,76,OA,Contribution,74.00,758720.59,"Monthly allocation"
2050-10-01,100001399,76,MA,Contribution,777.00,547320.07,"Monthly allocation"
2050-10-01,100001400,76,RA,Contribution,74.00,73249.53,"Monthly allocation"
2050-10-01,100001401,76,RA,Payout,930.00,72319.53,"Monthly payout from RA"
2050-10-01,100001402,76,Excess,Payout In,930.00,104160.00,"Monthly payout credited to excess"
2050-11-01,100001403,76,OA,Contribution,74.00,758794.59,"Monthly allocation"
2050-11-01,100001404,76,MA,Contribution,777.00,548097.07,"Monthly allocation"
2050-11-01,100001405,76,RA,Contribution,74.00,72393.53,"Monthly allocation"
2050-11-01,100001406,76,RA,Payout,930.00,71463.53,"Monthly payout from RA"
2050-11-01,100001407,76,Excess,Payout In,930.00,105090.00,"Monthly payout credited to excess"
2050-12-01,100001408,76,OA,Contribution,74.00,758868.59,"Monthly allocation"
2050-12-01,100001409,76,MA,Contribution,777.00,548874.07,"Monthly allocation"
2050-12-01,100001410,76,RA,Contribution,74.00,71537.53,"Monthly allocation"
2050-12-01,100001411,76,OA,Interest,30354.74,789223.34,"Annual base interest"
2050-12-01,100001412,76,MA,Interest,21954.96,570829.03,"Annual base interest"
2050-12-01,100001413,76,RA,Interest,2861.50,74399.04,"Annual base + extra interest"
2050-12-01,100001414,76,RA,Extra Interest,900.00,75299.04,"Annual base + extra interest"
2050-12-01,100001415,76,RA,Payout,930.00,74369.04,"Monthly payout from RA"
2050-12-01,100001416,76,Excess,Payout In,930.00,106020.00,"Monthly payout credited to excess"
2051-01-01,100001417,76,OA,Contribution,74.00,789297.34,"Monthly allocation"
2051-01-01,100001418,76,MA,Contribution,777.00,571606.03,"Monthly allocation"
2051-01-01,100001419,76,RA,Contribution,74.00,74443.04,"Monthly allocation"
2051-01-01,100001420,76,RA,Payout,930.00,73513.04,"Monthly payout from RA"
2051-01-01,100001421,76,Excess,Payout In,930.00,106950.00,"Monthly payout credited to excess"
2051-02-01,100001422,76,OA,Contribution,74.00,789371.34,"Monthly allocation"
2051-02-01,100001423,76,MA,Contribution,777.00,572383.03,"Monthly allocation"
2051-02-01,100001424,76,RA,Contribution,74.00,73587.04,"Monthly allocation"
2051-02-01,100001425,76,RA,Payout,930.00,72657.04,"Monthly payout from RA"
2051-02-01,100001426,76,Excess,Payout In,930.00,107880.00,"Monthly payout credited to excess"
2051-03-01,100001427,76,OA,Contribution,74.00,789445.34,"Monthly allocation"
2051-03-01,100001428,76,MA,Contribution,777.00,573160.03,"Monthly allocation"
2051-03-01,100001429,76,RA,Contribution,74.00,72731.04,"Monthly allocation"
2051-03-01,100001430,76,RA,Payout,930.00,71801.04,"Monthly payout from RA"
2051-03-01,100001431,76,Excess,Payout In,930.00,108810.00,"Monthly payout credited to excess"
2051-04-01,100001432,76,OA,Contribution,74.00,789519.34,"Monthly allocation"
2051-04-01,100001433,76,MA,Contribution,777.00,573937.03,"Monthly allocation"
2051-04-01,100001434,76,RA,Contribution,74.00,71875.04,"Monthly allocation"
2051-04-01,100001435,76,RA,Payout,930.00,70945.04,"Monthly payout from RA"
2051-04-01,100001436,76,Excess,Payout In,930.00,109740.00,"Monthly payout credited to excess"
2051-05-01,100001437,76,OA,Contribution,74.00,789593.34,"Monthly allocation"
2051-05-01,100001438,76,MA,Contribution,777.00,574714.03,"Monthly allocation"
2051-05-01,100001439,76,RA,Contribution,74.00,71019.04,"Monthly allocation"
2051-05-01,100001440,76,RA,Payout,930.00,70089.04,"Monthly payout from RA"
2051-05-01,100001441,76,Excess,Payout In,930.00,110670.00,"Monthly payout credited to excess"
2051-06-01,100001442,76,OA,Contribution,74.00,789667.34,"Monthly allocation"
2051-06-01,100001443,76,MA,Contribution,777.00,575491.03,"Monthly allocation"
2051-06-01,100001444,76,RA,Contribution,74.00,70163.04,"Monthly allocation"
2051-06-01,100001445,76,RA,Payout,930.00,69233.04,"Monthly payout from RA"
2051-06-01,100001446,76,Excess,Payout In,930.00,111600.00,"Monthly payout credited to excess"
2051-07-01,100001447,77,OA,Contribution,74.00,789741.34,"Monthly allocation"
2051-07-01,100001448,77,MA,Contribution,777.00,576268.03,"Monthly allocation"
2051-07-01,100001449,77,RA,Contribution,74.00,69307.04,"Monthly allocation"
2051-07-01,100001450,77,RA,Payout,930.00,68377.04,"Monthly payout from RA"
2051-07-01,100001451,77,Excess,Payout In,930.00,112530.00,"Monthly payout credited to excess"
2051-08-01,100001452,77,OA,Contribution,74.00,789815.34,"Monthly allocation"
2051-08-01,100001453,77,MA,Contribution,777.00,577045.03,"Monthly allocation"
2051-08-01,100001454,77,RA,Contribution,74.00,68451.04,"Monthly allocation"
2051-08-01,100001455,77,RA,Payout,930.00,67521.04,"Monthly payout from RA"
2051-08-01,100001456,77,Excess,Payout In,930.00,113460.00,"Monthly payout credited to excess"
2051-09-01,100001457,77,OA,Contribution,74.00,789889.34,"Monthly allocation"
2051-09-01,100001458,77,MA,Contribution,777.00,577822.03,"Monthly allocation"
2051-09-01,100001459,77,RA,Contribution,74.00,67595.04,"Monthly allocation"
2051-09-01,100001460,77,RA,Payout,930.00,66665.04,"Monthly payout from RA"
2051-09-01,100001461,77,Excess,Payout In,930.00,114390.00,"Monthly payout credited to excess"
2051-10-01,100001462,77,OA,Contribution,74.00,789963.34,"Monthly allocation"
2051-10-01,100001463,77,MA,Contribution,777.00,578599.03,"Monthly allocation"
2051-10-01,100001464,77,RA,Contribution,74.00,66739.04,"Monthly allocation"
2051-10-01,100001465,77,RA,Payout,930.00,65809.04,"Monthly payout from RA"
2051-10-01,100001466,77,Excess,Payout In,930.00,115320.00,"Monthly payout credited to excess"
2051-11-01,100001467,77,OA,Contribution,74.00,790037.34,"Monthly allocation"
2051-11-01,100001468,77,MA,Contribution,777.00,579376.03,"Monthly allocation"
2051-11-01,100001469,77,RA,Contribution,74.00,65883.04,"Monthly allocation"
2051-11-01,100001470,77,RA,Payout,930.00,64953.04,"Monthly payout from RA"
2051-11-01,100001471,77,Excess,Payout In,930.00,116250.00,"Monthly payout credited to excess"
2051-12-01,100001472,77,OA,Contribution,74.00,790111.34,"Monthly allocation"
2051-12-01,100001473,77,MA,Contribution,777.00,580153.03,"Monthly allocation"
2051-12-01,100001474,77,RA,Contribution,74.00,65027.04,"Monthly allocation"
2051-12-01,100001475,77,OA,Interest,31604.45,821715.79,"Annual base interest"
2051-12-01,100001476,77,MA,Interest,23206.12,603359.15,"Annual base interest"
2051-12-01,100001477,77,RA,Interest,2601.08,67628.12,"Annual base + extra interest"
2051-12-01,100001478,77,RA,Extra Interest,900.00,68528.12,"Annual base + extra interest"
2051-12-01,100001479,77,RA,Payout,930.00,67598.12,"Monthly payout from RA"
2051-12-01,100001480,77,Excess,Payout In,930.00,117180.00,"Monthly payout credited to excess"
2052-01-01,100001481,77,OA,Contribution,74.00,821789.79,"Monthly allocation"
2052-01-01,100001482,77,MA,Contribution,777.00,604136.15,"Monthly allocation"
2052-01-01,100001483,77,RA,Contribution,74.00,67672.12,"Monthly allocation"
2052-01-01,100001484,77,RA,Payout,930.00,66742.12,"Monthly payout from RA"
2052-01-01,100001485,77,Excess,Payout In,930.00,118110.00,"Monthly payout credited to excess"
2052-02-01,100001486,77,OA,Contribution,74.00,821863.79,"Monthly allocation"
2052-02-01,100001487,77,MA,Contribution,777.00,604913.15,"Monthly allocation"
2052-02-01,100001488,77,RA,Contribution,74.00,66816.12,"Monthly allocation"
2052-02-01,100001489,77,RA,Payout,930.00,65886.12,"Monthly payout from RA"
2052-02-01,100001490,77,Excess,Payout In,930.00,119040.00,"Monthly payout credited to excess"
2052-03-01,100001491,77,OA,Contribution,74.00,821937.79,"Monthly allocation"
2052-03-01,100001492,77,MA,Contribution,777.00,605690.15,"Monthly allocation"
2052-03-01,100001493,77,RA,Contribution,74.00,65960.12,"Monthly allocation"
2052-03-01,100001494,77,RA,Payout,930.00,65030.12,"Monthly payout from RA"
2052-03-01,100001495,77,Excess,Payout In,930.00,119970.00,"Monthly payout credited to excess"
2052-04-01,100001496,77,OA,Contribution,74.00,822011.79,"Monthly allocation"
2052-04-01,100001497,77,MA,Contribution,777.00,606467.15,"Monthly allocation"
2052-04-01,100001498,77,RA,Contribution,74.00,65104.12,"Monthly allocation"
2052-04-01,100001499,77,RA,Payout,930.00,64174.12,"Monthly payout from RA"
2052-04-01,100001500,77,Excess,Payout In,930.00,120900.00,"Monthly payout credited to excess"
2052-05-01,100001501,77,OA,Contribution,74.00,822085.79,"Monthly allocation"
2052-05-01,100001502,77,MA,Contribution,777.00,607244.15,"Monthly allocation"
2052-05-01,100001503,77,RA,Contribution,74.00,64248.12,"Monthly allocation"
2052-05-01,100001504,77,RA,Payout,930.00,63318.12,"Monthly payout from RA"
2052-05-01,100001505,77,Excess,Payout In,930.00,121830.00,"Monthly payout credited to excess"
2052-06-01,100001506,77,OA,Contribution,74.00,822159.79,"Monthly allocation"
2052-06-01,100001507,77,MA,Contribution,777.00,608021.15,"Monthly allocation"
2052-06-01,100001508,77,RA,Contribution,74.00,63392.12,"Monthly allocation"
2052-06-01,100001509,77,RA,Payout,930.00,62462.12,"Monthly payout from RA"
2052-06-01,100001510,77,Excess,Payout In,930.00,122760.00,"Monthly payout credited to excess"
2052-07-01,100001511,78,OA,Contribution,74.00,822233.79,"Monthly allocation"
2052-07-01,100001512,78,MA,Contribution,777.00,608798.15,"Monthly allocation"
